Emoji,Name,FilePath,Line,ElementDescription,RecommendedSizePx,AssetFile
🔍,Magnifying Glass,frontend/src/types/timeline.ts,49,Timeline entry type icon — detection (used across timeline components),18,magnifying_glass_tilted_left_color.svg
🔬,Microscope,frontend/src/types/timeline.ts,55,Timeline entry type icon — analysis,18,microscope_color.svg
🛡️,Shield,frontend/src/types/timeline.ts,61,Timeline entry type icon — containment,18,shield_color.svg
📎,Paperclip,frontend/src/types/timeline.ts,67,Timeline entry type icon — evidence,18,paperclip_color.svg
💬,Speech Balloon,frontend/src/types/timeline.ts,73,Timeline entry type icon — comms,18,speech_balloon_color.svg
📝,Memo,frontend/src/types/timeline.ts,79,Timeline entry type icon — note,18,memo_color.svg
📄,Page Facing Up,frontend/src/types/report.ts,112,Report block library icon — Cover Page,20,page_facing_up_color.svg
📊,Bar Chart,frontend/src/types/report.ts,122,Report block library icon — Stat Row,20,bar_chart_color.svg
📝,Memo,frontend/src/types/report.ts,129,Report block library icon — Section,20,memo_color.svg
🕐,One O'Clock,frontend/src/types/report.ts,136,Report block library icon — Timeline,20,one_oclock_color.svg
🎯,Bullseye,frontend/src/types/report.ts,143,Report block library icon — IOC Table,20,bullseye_color.svg
✅,Check Mark Button,frontend/src/types/report.ts,150,Report block library icon — Task List,20,check_mark_button_color.svg
📎,Paperclip,frontend/src/types/report.ts,157,Report block library icon — Evidence Register,20,paperclip_color.svg
📋,Clipboard,frontend/src/types/report.ts,164,Report block library icon — Text Block,20,clipboard_color.svg
🏷,Label,frontend/src/types/report.ts,179,Report block library icon — Tag List,20,label_color.svg
🤖,Robot,frontend/src/types/report.ts,199,Report block library icon — AI Strategy Summary,20,robot_color.svg
🕸️,Spider Web,frontend/src/types/report.ts,206,Report block library icon — Graph Snapshot,20,spider_web_color.svg
📧,E-Mail,frontend/src/types/ioc.ts,40,IOC type icon — email,16,e-mail_color.svg
🌐,Globe with Meridians,frontend/src/types/ioc.ts,41,IOC type icon — domain,16,globe_with_meridians_color.svg
🔌,Electric Plug,frontend/src/types/ioc.ts,42,IOC type icon — IP address,16,electric_plug_color.svg
🔗,Link,frontend/src/types/ioc.ts,43,IOC type icon — URL,16,link_color.svg
